dt = 0.000010000000; N = 10; L(σ) = 8.000000 
Temps; Energie(ε); E_cin(ε); E_pot(ε); Temperature(ε/kb); Pression (ε/σ²)
0.089000; 99.777576; 101.814073; -2.036497; 10.181407; 1.833375
0.090000; 99.777576; 101.418716; -1.641140; 10.141872; 1.880604
0.091000; 99.777576; 100.928421; -1.150846; 10.092842; 1.936598
0.092000; 99.777575; 100.323333; -0.545757; 10.032333; 2.003021
0.093000; 99.777575; 99.580335; 0.197240; 9.958034; 2.081786
0.094000; 99.761259; 98.672958; 1.088300; 9.867296; 2.174302
0.095000; 99.761259; 97.571716; 2.189543; 9.757172; 2.284490
0.096000; 99.761258; 96.244227; 3.517031; 9.624423; 2.414169
0.097000; 99.761258; 94.657073; 5.104185; 9.465707; 2.565968
0.098000; 99.761258; 92.777968; 6.983290; 9.277797; 2.742366
0.099000; 99.777576; 90.579588; 9.197987; 9.057959; 2.946135
0.100000; 99.777575; 88.045149; 11.732426; 8.804515; 3.176839
0.101000; 99.777575; 85.174374; 14.603201; 8.517437; 3.434846
0.102000; 99.777576; 81.993925; 17.783651; 8.199392; 3.717509
0.103000; 99.777576; 78.566372; 21.211204; 7.856637; 4.019181
0.104000; 99.777577; 74.998492; 24.779085; 7.499849; 4.330560
0.105000; 99.777578; 71.445294; 28.332284; 7.144529; 4.638398
0.106000; 99.777579; 68.106126; 31.671454; 6.810613; 4.925866
0.107000; 99.777581; 65.209700; 34.567881; 6.520970; 5.173820
0.108000; 99.793898; 62.987610; 36.806288; 6.298761; 5.363783
0.109000; 99.793899; 61.638256; 38.155643; 6.163826; 5.477814
0.110000; 99.793899; 61.292056; 38.501843; 6.129206; 5.505965
0.111000; 99.793899; 61.985306; 37.808593; 6.198531; 5.445337
0.112000; 99.793898; 63.652644; 36.141254; 6.365264; 5.301436
0.113000; 99.793897; 66.140452; 33.653445; 6.614045; 5.087063
0.114000; 99.793895; 69.236581; 30.557314; 6.923658; 4.819872
0.115000; 99.793894; 72.706908; 27.086986; 7.270691; 4.519379
0.116000; 99.793893; 76.328728; 23.465165; 7.632873; 4.204225
0.117000; 99.793892; 79.914276; 19.879616; 7.991428; 3.890234
0.118000; 99.793892; 83.322287; 16.471604; 8.332229; 3.589444
0.119000; 99.793891; 86.459232; 13.334659; 8.645923; 3.309983
0.120000; 99.810208; 89.273943; 10.536265; 8.927394; 3.057253
0.121000; 99.810208; 91.747979; 8.062229; 9.174798; 2.831620
0.122000; 99.810209; 93.886802; 5.923407; 9.388680; 2.633727
0.123000; 99.810209; 95.711125; 4.099084; 9.571113; 2.462146
0.124000; 99.810209; 97.250184; 2.560025; 9.725018; 2.314685
0.125000; 99.810210; 98.536845; 1.273364; 9.853685; 2.188799
0.126000; 99.810210; 99.604329; 0.205881; 9.960433; 2.081865
0.127000; 99.810210; 100.484185; -0.673975; 10.048419; 1.991357
0.128000; 99.810211; 101.205191; -1.394981; 10.120519; 1.914943
0.129000; 99.810211; 101.792871; -1.982661; 10.179287; 1.850531
0.130000; 99.810211; 102.269413; -2.459202; 10.226941; 1.796287
0.131000; 99.810211; 102.653821; -2.843610; 10.265382; 1.750622
0.132000; 99.810211; 102.962195; -3.151983; 10.296219; 1.712178
0.133000; 99.810211; 103.208057; -3.397846; 10.320806; 1.679800
0.134000; 99.810211; 103.402695; -3.592483; 10.340269; 1.652516
0.135000; 99.810211; 103.555483; -3.745271; 10.355548; 1.629508
0.136000; 99.810211; 103.674177; -3.863965; 10.367418; 1.610090
0.137000; 99.810211; 103.765173; -3.954961; 10.376517; 1.593691
0.138000; 99.810211; 103.833735; -4.023524; 10.383374; 1.579833
0.139000; 99.810212; 103.884184; -4.073973; 10.388418; 1.568118
0.140000; 99.810212; 103.920063; -4.109851; 10.392006; 1.558215
0.141000; 99.810212; 103.944269; -4.134057; 10.394427; 1.549847
0.142000; 99.810212; 103.959168; -4.148957; 10.395917; 1.542785
0.143000; 99.810212; 103.966693; -4.156481; 10.396669; 1.536837
0.144000; 99.810212; 103.968412; -4.158200; 10.396841; 1.531844
0.145000; 99.810212; 103.965601; -4.155389; 10.396560; 1.527673
0.146000; 99.810212; 103.959291; -4.149080; 10.395929; 1.524214
0.147000; 99.810212; 103.950315; -4.140103; 10.395031; 1.521375
0.148000; 99.810212; 103.939338; -4.129127; 10.393934; 1.519080
0.149000; 99.810212; 103.926894; -4.116682; 10.392689; 1.517265
0.150000; 99.810212; 103.913401; -4.103190; 10.391340; 1.515878
0.151000; 99.810212; 103.899189; -4.088978; 10.389919; 1.514877
0.152000; 99.810212; 103.884510; -4.074298; 10.388451; 1.514225
0.153000; 99.810212; 103.869551; -4.059340; 10.386955; 1.513893
0.154000; 99.810212; 103.854451; -4.044239; 10.385445; 1.513859
0.155000; 99.810212; 103.839302; -4.029090; 10.383930; 1.514104
0.156000; 99.810212; 103.824160; -4.013948; 10.382416; 1.514612
0.157000; 99.810212; 103.809051; -3.998839; 10.380905; 1.515375
0.158000; 99.810212; 103.793973; -3.983762; 10.379397; 1.516382
0.159000; 99.810212; 103.778905; -3.968693; 10.377890; 1.517630
0.160000; 99.810212; 103.763802; -3.953590; 10.376380; 1.519115
0.161000; 99.810212; 103.748604; -3.938392; 10.374860; 1.520836
0.162000; 99.810212; 103.733235; -3.923024; 10.373324; 1.522795
0.163000; 99.810212; 103.717607; -3.907395; 10.371761; 1.524995
0.164000; 99.810212; 103.701615; -3.891404; 10.370162; 1.527440
0.165000; 99.810212; 103.685146; -3.874935; 10.368515; 1.530136
0.166000; 99.826528; 103.668078; -3.841549; 10.366808; 1.533852
0.167000; 99.826528; 103.650569; -3.824041; 10.365057; 1.537064
0.168000; 99.826528; 103.632163; -3.805634; 10.363216; 1.540554
0.169000; 99.810212; 103.612842; -3.802630; 10.361284; 1.543566
0.170000; 99.810212; 103.592491; -3.782279; 10.359249; 1.547636
0.171000; 99.810212; 103.570737; -3.760525; 10.357074; 1.552020
0.172000; 99.810212; 103.547384; -3.737173; 10.354738; 1.556735
0.173000; 99.810212; 103.522228; -3.712017; 10.352223; 1.561795
0.174000; 99.810212; 103.495050; -3.684838; 10.349505; 1.567220
0.175000; 99.810212; 103.465618; -3.655406; 10.346562; 1.573026
0.176000; 99.810212; 103.433688; -3.623477; 10.343369; 1.579234
0.177000; 99.810212; 103.399004; -3.588792; 10.339900; 1.585865
0.178000; 99.810212; 103.361292; -3.551081; 10.336129; 1.592941
0.179000; 99.810212; 103.320269; -3.510058; 10.332027; 1.600485
0.180000; 99.810212; 103.275635; -3.465423; 10.327563; 1.608523
0.181000; 99.810212; 103.227075; -3.416863; 10.322708; 1.617080
0.182000; 99.810212; 103.174261; -3.364049; 10.317426; 1.626182
0.183000; 99.810212; 103.116849; -3.306638; 10.311685; 1.635858
0.184000; 99.810212; 103.054482; -3.244271; 10.305448; 1.646138
0.185000; 99.810212; 102.986789; -3.176577; 10.298679; 1.657050
0.186000; 99.810212; 102.913383; -3.103172; 10.291338; 1.668627
0.187000; 99.810212; 102.833867; -3.023656; 10.283387; 1.680900
0.188000; 99.810212; 102.747831; -2.937620; 10.274783; 1.693901
0.189000; 99.810212; 102.654854; -2.844642; 10.265485; 1.707665
0.190000; 99.810212; 102.554506; -2.744294; 10.255451; 1.722223
0.191000; 99.810212; 102.446350; -2.636138; 10.244635; 1.737610
0.192000; 99.810212; 102.329944; -2.519732; 10.232994; 1.753859
0.193000; 99.810212; 102.204845; -2.394633; 10.220484; 1.771003
0.194000; 99.810212; 102.070610; -2.260398; 10.207061; 1.789075
0.195000; 99.810212; 101.926801; -2.116589; 10.192680; 1.808106
0.196000; 99.810212; 101.772990; -1.962778; 10.177299; 1.828125
0.197000; 99.810212; 101.608764; -1.798552; 10.160876; 1.849161
0.198000; 99.810212; 101.433729; -1.623518; 10.143373; 1.871238
0.199000; 99.810212; 101.247520; -1.437308; 10.124752; 1.894379
0.200000; 99.810212; 101.049803; -1.239591; 10.104980; 1.918601
0.201000; 99.793894; 100.840382; -1.046488; 10.084038; 1.943154
0.202000; 99.793894; 100.618977; -0.825083; 10.061898; 1.969570
0.203000; 99.793894; 100.385359; -0.591465; 10.038536; 1.997090
0.204000; 99.793894; 100.139422; -0.345528; 10.013942; 2.025711
0.205000; 99.793894; 99.881147; -0.087253; 9.988115; 2.055417
0.206000; 99.793894; 99.610608; 0.183286; 9.961061; 2.086185
0.207000; 99.793894; 99.327992; 0.465902; 9.932799; 2.117981
0.208000; 99.793894; 99.033611; 0.760283; 9.903361; 2.150761
0.209000; 99.793894; 98.727917; 1.065977; 9.872792; 2.184464
0.210000; 99.777577; 98.411554; 1.366023; 9.841155; 2.218255
0.211000; 99.777577; 98.085277; 1.692300; 9.808528; 2.253568
0.212000; 99.777577; 97.750045; 2.027532; 9.775005; 2.289537
0.213000; 99.777577; 97.407031; 2.370546; 9.740703; 2.326037
0.214000; 99.777577; 97.057628; 2.719949; 9.705763; 2.362923
0.215000; 99.777577; 96.703460; 3.074117; 9.670346; 2.400032
0.216000; 99.777577; 96.346391; 3.431186; 9.634639; 2.437177
0.217000; 99.777577; 95.988534; 3.789042; 9.598853; 2.474153
0.218000; 99.777577; 95.632253; 4.145324; 9.563225; 2.510732
0.219000; 99.777577; 95.280152; 4.497425; 9.528015; 2.546663
0.220000; 99.777577; 94.935072; 4.842505; 9.493507; 2.581681
