#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
     690    -472.856580       0.118596      17.789444    -455.067136       0.423561      0.000000      0.000000
     700    -472.468692       0.116011      17.401639    -455.067053       0.423561      0.000000      0.000000
     710    -471.459107       0.109281      16.392122    -455.066985       0.423561      0.000000      0.000000
     720    -470.114427       0.100318      15.047643    -455.066785       0.423561      0.000000      0.000000
     730    -468.746436       0.091197      13.679592    -455.066844       0.423561      0.000000      0.000000
     740    -467.338209       0.081808      12.271168    -455.067041       0.423561      0.000000      0.000000
     750    -465.679836       0.070752      10.612865    -455.066971       0.423561      0.000000      0.000000
     760    -464.015634       0.059661       8.949135    -455.066499       0.423561      0.000000      0.000000
     770    -463.149404       0.053888       8.083244    -455.066159       0.423561      0.000000      0.000000
     780    -463.540371       0.056493       8.473899    -455.066472       0.423561      0.000000      0.000000
     790    -464.797651       0.064873       9.730892    -455.066759       0.423561      0.000000      0.000000
     800    -466.339985       0.075154      11.273114    -455.066871       0.423561      0.000000      0.000000
     810    -467.878512       0.085411      12.811693    -455.066819       0.423561      0.000000      0.000000
     820    -469.374404       0.095385      14.307759    -455.066645       0.423561      0.000000      0.000000
     830    -470.905503       0.105592      15.838874    -455.066630       0.423561      0.000000      0.000000
     840    -472.440852       0.115827      17.374075    -455.066777       0.423561      0.000000      0.000000
     850    -473.688494       0.124144      18.621591    -455.066904       0.423561      0.000000      0.000000
     860    -474.246714       0.127864      19.179614    -455.067101       0.423561      0.000000      0.000000
     870    -473.864817       0.125318      18.797741    -455.067076       0.423561      0.000000      0.000000
     880    -472.599111       0.116882      17.532251    -455.066859       0.423561      0.000000      0.000000
     890    -470.782981       0.104776      15.716408    -455.066574       0.423561      0.000000      0.000000
     900    -468.837193       0.091806      13.770841    -455.066352       0.423561      0.000000      0.000000
     910    -467.057462       0.079941      11.991126    -455.066336       0.423561      0.000000      0.000000
     920    -465.522927       0.069710      10.456514    -455.066412       0.423561      0.000000      0.000000
     930    -464.176732       0.060736       9.110345    -455.066387       0.423561      0.000000      0.000000
     940    -462.975553       0.052728       7.909273    -455.066280       0.423561      0.000000      0.000000
     950    -461.948182       0.045880       6.881951    -455.066231       0.423561      0.000000      0.000000
     960    -461.182144       0.040773       6.115973    -455.066171       0.423561      0.000000      0.000000
     970    -460.777640       0.038077       5.711555    -455.066085       0.423561      0.000000      0.000000
     980    -460.814579       0.038323       5.748514    -455.066065       0.423561      0.000000      0.000000
     990    -461.331037       0.041766       6.264938    -455.066099       0.423561      0.000000      0.000000
