#  Steps           Epot           Temp           Ekin           Etot        Coord0A       Coord1A       Coord2A       Coord0B       Coord1B       Coord2B
     440  -12731.298795       0.061279     183.838234  -12547.460561      -0.000000     -0.000000      0.000000    -14.470800     -0.000000      0.000000
     450  -12731.924118       0.061488     184.463534  -12547.460584      -0.000000     -0.000000      0.000000    -14.458800     -0.000000      0.000000
     460  -12732.528715       0.061689     185.068125  -12547.460590      -0.000000     -0.000000      0.000000    -14.446800     -0.000000      0.000000
     470  -12733.092696       0.061877     185.632100  -12547.460597      -0.000000     -0.000000      0.000000    -14.434800     -0.000000      0.000000
     480  -12733.597850       0.062046     186.137234  -12547.460616      -0.000000     -0.000000      0.000000    -14.422800     -0.000000      0.000000
     490  -12734.030932       0.062190     186.570318  -12547.460614      -0.000000     -0.000000      0.000000    -14.410800     -0.000000      0.000000
     500  -12734.380258       0.062307     186.919635  -12547.460623      -0.000000     -0.000000      0.000000    -14.398800     -0.000000      0.000000
     510  -12734.635706       0.062392     187.175087  -12547.460619      -0.000000     -0.000000      0.000000    -14.386800     -0.000000      0.000000
     520  -12734.788628       0.062443     187.327997  -12547.460631      -0.000000     -0.000000      0.000000    -14.374800     -0.000000      0.000000
     530  -12734.831210       0.062457     187.370598  -12547.460612      -0.000000     -0.000000      0.000000    -14.362800     -0.000000      0.000000
     540  -12734.764868       0.062435     187.304248  -12547.460621      -0.000000     -0.000000      0.000000    -14.350800     -0.000000      0.000000
     550  -12734.593637       0.062378     187.133025  -12547.460612      -0.000000     -0.000000      0.000000    -14.338800     -0.000000      0.000000
     560  -12734.319402       0.062286     186.858789  -12547.460613      -0.000000     -0.000000      0.000000    -14.326800     -0.000000      0.000000
     570  -12733.945158       0.062162     186.484565  -12547.460593      -0.000000     -0.000000      0.000000    -14.314800     -0.000000      0.000000
     580  -12733.481631       0.062007     186.021060  -12547.460572      -0.000000     -0.000000      0.000000    -14.302800     -0.000000      0.000000
     590  -12732.943395       0.061828     185.482840  -12547.460555      -0.000000     -0.000000      0.000000    -14.290800     -0.000000      0.000000
     600  -12732.351163       0.061630     184.890613  -12547.460550      -0.000000     -0.000000      0.000000    -14.278800     -0.000000      0.000000
     610  -12731.726921       0.061422     184.266378  -12547.460543      -0.000000     -0.000000      0.000000    -14.266800     -0.000000      0.000000
     620  -12731.090547       0.061210     183.630015  -12547.460532      -0.000000     -0.000000      0.000000    -14.254800     -0.000000      0.000000
     630  -12730.461734       0.061000     183.001220  -12547.460513      -0.000000     -0.000000      0.000000    -14.242800     -0.000000      0.000000
     640  -12729.861991       0.060800     182.401480  -12547.460511      -0.000000     -0.000000      0.000000    -14.230800     -0.000000      0.000000
     650  -12729.312603       0.060617     181.852103  -12547.460500      -0.000000     -0.000000      0.000000    -14.218800     -0.000000      0.000000
     660  -12728.832355       0.060457     181.371868  -12547.460487      -0.000000     -0.000000      0.000000    -14.206800     -0.000000      0.000000
     670  -12728.438134       0.060326     180.977654  -12547.460480      -0.000000     -0.000000      0.000000    -14.194800     -0.000000      0.000000
     680  -12728.143835       0.060228     180.683362  -12547.460474      -0.000000     -0.000000      0.000000    -14.182800     -0.000000      0.000000
     690  -12727.959474       0.060166     180.499006  -12547.460469      -0.000000     -0.000000      0.000000    -14.170800     -0.000000      0.000000
     700  -12727.891078       0.060144     180.430609  -12547.460469      -0.000000     -0.000000      0.000000    -14.158800     -0.000000      0.000000
     710  -12727.940994       0.060160     180.480524  -12547.460470      -0.000000     -0.000000      0.000000    -14.146800     -0.000000      0.000000
     720  -12728.107410       0.060216     180.646936  -12547.460474      -0.000000     -0.000000      0.000000    -14.134800     -0.000000      0.000000
     730  -12728.382896       0.060307     180.922414  -12547.460482      -0.000000     -0.000000      0.000000    -14.122800     -0.000000      0.000000
     740  -12728.755071       0.060432     181.294581  -12547.460491      -0.000000     -0.000000      0.000000    -14.110800     -0.000000      0.000000
     750  -12729.209421       0.060583     181.748920  -12547.460501      -0.000000     -0.000000      0.000000    -14.098800     -0.000000      0.000000
     760  -12729.730814       0.060757     182.270301  -12547.460513      -0.000000     -0.000000      0.000000    -14.086800     -0.000000      0.000000
     770  -12730.302755       0.060947     182.842236  -12547.460519      -0.000000     -0.000000      0.000000    -14.074800     -0.000000      0.000000
     780  -12730.907134       0.061149     183.446603  -12547.460530      -0.000000     -0.000000      0.000000    -14.062800     -0.000000      0.000000
     790  -12731.523655       0.061354     184.063113  -12547.460542      -0.000000     -0.000000      0.000000    -14.050800     -0.000000      0.000000
     800  -12732.132055       0.061557     184.671495  -12547.460560      -0.000000     -0.000000      0.000000    -14.038800     -0.000000      0.000000
     810  -12732.712257       0.061751     185.251681  -12547.460576      -0.000000     -0.000000      0.000000    -14.026800     -0.000000      0.000000
     820  -12733.243974       0.061928     185.783374  -12547.460600      -0.000000     -0.000000      0.000000    -14.014800     -0.000000      0.000000
     830  -12733.710097       0.062083     186.249496  -12547.460601      -0.000000     -0.000000      0.000000    -14.002800     -0.000000      0.000000
     840  -12734.097166       0.062212     186.636553  -12547.460612      -0.000000     -0.000000      0.000000    -13.990800     -0.000000      0.000000
     850  -12734.395688       0.062312     186.935074  -12547.460614      -0.000000     -0.000000      0.000000    -13.978800     -0.000000      0.000000
     860  -12734.597180       0.062379     187.136565  -12547.460615      -0.000000     -0.000000      0.000000    -13.966800     -0.000000      0.000000
     870  -12734.693966       0.062411     187.233351  -12547.460614      -0.000000     -0.000000      0.000000    -13.954800     -0.000000      0.000000
     880  -12734.685076       0.062408     187.224465  -12547.460610      -0.000000     -0.000000      0.000000    -13.942800     -0.000000      0.000000
     890  -12734.571622       0.062370     187.111014  -12547.460608      -0.000000     -0.000000      0.000000    -13.930800     -0.000000      0.000000
     900  -12734.358102       0.062299     186.897499  -12547.460603      -0.000000     -0.000000      0.000000    -13.918800     -0.000000      0.000000
     910  -12734.051032       0.062197     186.590444  -12547.460588      -0.000000     -0.000000      0.000000    -13.906800     -0.000000      0.000000
     920  -12733.660536       0.062067     186.199983  -12547.460553      -0.000000     -0.000000      0.000000    -13.894800     -0.000000      0.000000
     930  -12733.201383       0.061914     185.740893  -12547.460490      -0.000000     -0.000000      0.000000    -13.882800     -0.000000     -0.000000
     940  -12732.688882       0.061743     185.228403  -12547.460479      -0.000000     -0.000000      0.000000    -13.870800     -0.000000     -0.000000
     950  -12732.140128       0.061560     184.679663  -12547.460465      -0.000000     -0.000000      0.000000    -13.858800     -0.000000     -0.000000
     960  -12731.569613       0.061370     184.109141  -12547.460472      -0.000001     -0.000000      0.000000    -13.846799     -0.000000     -0.000000
     970  -12730.994226       0.061178     183.533760  -12547.460466      -0.000001     -0.000000      0.000000    -13.834799     -0.000000     -0.000000
     980  -12730.433911       0.060991     182.973480  -12547.460431      -0.000002     -0.000000      0.000000    -13.822798     -0.000000     -0.000000
     990  -12729.905087       0.060815     182.444667  -12547.460420      -0.000003     -0.000000      0.000001    -13.810797     -0.000000     -0.000001
    1000  -12729.424437       0.060655     181.964024  -12547.460413      -0.000004     -0.000000      0.000001    -13.798796     -0.000000     -0.000001
    1010  -12729.005776       0.060515     181.545376  -12547.460401      -0.000005     -0.000000      0.000001    -13.786795     -0.000000     -0.000001
    1020  -12728.661078       0.060400     181.200685  -12547.460393      -0.000007     -0.000000      0.000001    -13.774793     -0.000000     -0.000001
    1030  -12728.400903       0.060314     180.940516  -12547.460387      -0.000009     -0.000000      0.000002    -13.762791     -0.000000     -0.000002
    1040  -12728.232330       0.060257     180.771949  -12547.460381      -0.000011     -0.000000      0.000002    -13.750789     -0.000000     -0.000002
    1050  -12728.159147       0.060233     180.698769  -12547.460378      -0.000014     -0.000000      0.000003    -13.738786     -0.000000     -0.000003
    1060  -12728.182910       0.060241     180.722534  -12547.460376      -0.000017     -0.000000      0.000003    -13.726783     -0.000000     -0.000003
    1070  -12728.304009       0.060281     180.843632  -12547.460377      -0.000020     -0.000000      0.000004    -13.714780     -0.000000     -0.000004
