#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
     380  -11238.131748       6.001296   18003.886687    6765.754939       0.153600     -0.000000     -0.000000      0.000000      0.153600    -15.428000     -0.000000      0.000000
     390  -11237.859800       6.001205   18003.614746    6765.754946       0.153607     -0.000000     -0.000000      0.000000      0.153607    -15.308000     -0.000000      0.000000
     400  -11238.829952       6.001528   18004.584894    6765.754943       0.153598     -0.000000     -0.000000      0.000000      0.153598    -15.188000     -0.000000      0.000000
     410  -11241.036335       6.002264   18006.791262    6765.754927       0.153573     -0.000000     -0.000000      0.000000      0.153573    -15.068000     -0.000000      0.000000
     420  -11244.454588       6.003403   18010.209487    6765.754899       0.153532     -0.000000     -0.000000      0.000000      0.153532    -14.948000     -0.000000      0.000000
     430  -11249.039886       6.004932   18014.794742    6765.754857       0.153476     -0.000000     -0.000000      0.000000      0.153476    -14.828000     -0.000000      0.000000
     440  -11254.725224       6.006827   18020.480023    6765.754800       0.153404     -0.000000     -0.000000      0.000000      0.153404    -14.708000     -0.000000      0.000000
     450  -11261.420695       6.009058   18027.175423    6765.754728       0.153317     -0.000000     -0.000000      0.000000      0.153317    -14.588000     -0.000000      0.000000
     460  -11269.013670       6.011589   18034.768312    6765.754642       0.153216     -0.000000     -0.000000      0.000000      0.153216    -14.468000     -0.000000      0.000000
     470  -11277.368903       6.014374   18043.123444    6765.754541       0.153100     -0.000000     -0.000000      0.000000      0.153100    -14.348000     -0.000000      0.000000
     480  -11286.327562       6.017361   18052.081986    6765.754424       0.152971     -0.000000     -0.000000      0.000000      0.152971    -14.228000     -0.000000      0.000000
     490  -11295.705601       6.020487   18061.459890    6765.754289       0.152829     -0.000000     -0.000000      0.000000      0.152829    -14.108000     -0.000000      0.000000
     500  -11305.293834       6.023683   18071.047975    6765.754141       0.152674     -0.000000     -0.000000      0.000000      0.152674    -13.988000     -0.000000      0.000000
     510  -11314.862535       6.026872   18080.616520    6765.753984       0.152508     -0.000000     -0.000000      0.000000      0.152508    -13.868000     -0.000000      0.000000
     520  -11324.171166       6.029975   18089.924994    6765.753828       0.152332     -0.000000     -0.000000      0.000000      0.152332    -13.748000     -0.000000      0.000000
     530  -11332.980476       6.032911   18098.734153    6765.753677       0.152145     -0.000000     -0.000000      0.000000      0.152145    -13.628000     -0.000000      0.000000
     540  -11341.062713       6.035605   18106.816250    6765.753536       0.151950     -0.000000     -0.000000      0.000000      0.151950    -13.508000     -0.000000      0.000000
     550  -11348.207698       6.037987   18113.961106    6765.753408       0.151748     -0.000000     -0.000000      0.000000      0.151748    -13.388000     -0.000000      0.000000
     560  -11354.226090       6.039993   18119.979383    6765.753293       0.151539     -0.000000     -0.000000      0.000000      0.151539    -13.268000     -0.000000      0.000000
     570  -11358.952859       6.041569   18124.706055    6765.753195       0.151325     -0.000000     -0.000000      0.000000      0.151325    -13.148000     -0.000000      0.000000
     580  -11362.252103       6.042668   18128.005222    6765.753118       0.151107     -0.000000     -0.000000      0.000000      0.151107    -13.028000     -0.000000      0.000000
     590  -11369.431452       6.043807   18131.422009    6761.990557       0.150887     -0.000003     -0.000000      0.000001      0.150887    -12.907997     -0.000000     -0.000001
     600  -11372.063363       6.044685   18134.053925    6761.990562       0.150667     -0.000013     -0.000000      0.000005      0.150667    -12.787987     -0.000000     -0.000005
     610  -11385.658537       6.046448   18139.345079    6753.686542       0.150447     -0.000040      0.000000      0.000012      0.150447    -12.667960     -0.000000     -0.000012
     620  -11390.498294       6.048060   18144.179485    6753.681191       0.150231     -0.000093      0.000000      0.000019      0.150231    -12.547907     -0.000000     -0.000019
     630  -11393.809329       6.047364   18142.090681    6748.281351       0.150019     -0.000170      0.000000      0.000017      0.150019    -12.427830     -0.000000     -0.000017
     640  -11357.177392       6.035149   18105.445826    6748.268434       0.149811     -0.000202     -0.000000     -0.000039      0.149811    -12.307798      0.000000      0.000039
     650  -11318.545062       6.021372   18064.116907    6745.571845       0.149599      0.000035     -0.000002     -0.000310      0.149599    -12.188035      0.000002      0.000310
     660  -11336.922046       6.027451   18082.353623    6745.431576       0.149380      0.000703     -0.000005     -0.000915      0.149380    -12.068703      0.000005      0.000915
     670  -11285.788773       6.006254   18018.762039    6732.973266       0.149163      0.001632     -0.000007     -0.001680      0.149163    -11.949632      0.000007      0.001680
     680  -11185.170607       5.972747   17918.239972    6733.069365       0.148954      0.002740     -0.000005     -0.002435      0.148953    -11.830740      0.000005      0.002435
     690  -11164.797600       5.963640   17890.918721    6726.121121       0.148753      0.004135      0.000005     -0.003103      0.148752    -11.712135     -0.000005      0.003103
     700  -11092.328221       5.939501   17818.501809    6726.173588       0.148553      0.006017      0.000026     -0.003660      0.148553    -11.594017     -0.000026      0.003660
     710  -11033.492036       5.917848   17753.544517    6720.052480       0.148352      0.008543      0.000054     -0.004141      0.148354    -11.476543     -0.000054      0.004141
     720  -10966.601285       5.895530   17686.589127    6719.987841       0.148160      0.011570      0.000080     -0.004598      0.148164    -11.359570     -0.000080      0.004598
     730  -10861.994223       5.855014   17565.042504    6703.048280       0.147985      0.014911      0.000103     -0.005058      0.147994    -11.242911     -0.000103      0.005058
     740  -10796.104215       5.833020   17499.059104    6702.954889       0.147829      0.018639      0.000126     -0.005520      0.147845    -11.126639     -0.000126      0.005520
     750  -10724.146303       5.803810   17411.431003    6687.284700       0.147686      0.022993      0.000149     -0.005964      0.147710    -11.010993     -0.000149      0.005964
     760  -10627.210555       5.771494   17314.481344    6687.270789       0.147553      0.028090      0.000166     -0.006403      0.147590    -10.896090     -0.000166      0.006403
     770  -10539.358863       5.738655   17215.964259    6676.605396       0.147436      0.033915      0.000179     -0.006868      0.147489    -10.781915     -0.000179      0.006868
     780  -10441.429574       5.706017   17118.052341    6676.622767       0.147342      0.040354      0.000190     -0.007342      0.147414    -10.668354     -0.000190      0.007342
     790  -10380.442175       5.682351   17047.052182    6666.610007       0.147277      0.047339      0.000204     -0.007773      0.147369    -10.555339     -0.000204      0.007773
     800  -10288.161430       5.651606   16954.817060    6666.655630       0.147239      0.054993      0.000222     -0.008111      0.147353    -10.442993     -0.000222      0.008111
     810  -10234.114068       5.629508   16888.523005    6654.408938       0.147228      0.063439      0.000245     -0.008350      0.147364    -10.331439     -0.000245      0.008350
     820  -10153.348159       5.602579   16807.738078    6654.389919       0.147246      0.072687      0.000268     -0.008522      0.147403    -10.220687     -0.000268      0.008522
     830  -10066.650490       5.571883   16715.648517    6648.998027       0.147296      0.082714      0.000283     -0.008696      0.147473    -10.110714     -0.000283      0.008696
     840  -10043.188736       5.564032   16692.095305    6648.906569       0.147379      0.093516      0.000289     -0.008945      0.147576    -10.001516     -0.000289      0.008945
     850  -10001.253181       5.548566   16645.698201    6644.445020       0.147498      0.105024      0.000286     -0.009242      0.147718     -9.893024     -0.000286      0.009242
     860   -9902.724679       5.515769   16547.305798    6644.581118       0.147652      0.117296      0.000273     -0.009554      0.147897     -9.785296     -0.000273      0.009554
     870   -9896.269167       5.514137   16542.411734    6646.142567       0.147835      0.130538      0.000252     -0.009903      0.148106     -9.678538     -0.000252      0.009903
     880   -9880.999457       5.509046   16527.138122    6646.138665       0.148051      0.144736      0.000226     -0.010298      0.148345     -9.572736     -0.000226      0.010298
